date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:08	37107/37107	---M--	200	added ('OK')	application/javascript	date:Tue,%2001%20Mar%202016%2014:05:34%20GMT	http://usdtheme.com/preview-styles/js/bootstrap.min.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/bootstrap.min.js	(from http://usdtheme.com/preview-styles/)
16:16:08	40401/40401	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Jun%202014%2023:51:42%20GMT	http://usdtheme.com/preview-styles/js/owl.carousel.min.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/owl.carousel.min.js	(from http://usdtheme.com/preview-styles/)
16:16:09	97362/97362	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Jan%202016%2012:12:52%20GMT	http://usdtheme.com/preview-styles/js/vendor/jquery-1.12.4.min.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/vendor/jquery-1.12.4.min.js	(from http://usdtheme.com/preview-styles/)
16:16:10	5719/5719	---M--	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202016%2018:38:02%20GMT	http://usdtheme.com/preview-styles/js/venobox.min.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/venobox.min.js	(from http://usdtheme.com/preview-styles/)
16:16:11	72977/72977	---MC-	200	added ('OK')	text/javascript	date:Fri,%2001%20Sep%202017%2015:16:18%20GMT	https://maps.googleapis.com/maps/api/js	C:/Users/AKIN/Desktop/hair%20style/hair%201/maps.googleapis.com/maps/api/js	(from http://usdtheme.com/preview-styles/)
16:16:14	51475/51475	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202017%2021:12:04%20GMT	http://usdtheme.com/preview-styles/js/moment.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/moment.js	(from http://usdtheme.com/preview-styles/)
16:16:14	11752/11752	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Aug%202015%2020:28:10%20GMT	http://usdtheme.com/preview-styles/js/jquery.meanmenu.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/jquery.meanmenu.js	(from http://usdtheme.com/preview-styles/)
16:16:14	8426/8426	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Aug%202015%2014:08:22%20GMT	http://usdtheme.com/preview-styles/js/wow.min.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/wow.min.js	(from http://usdtheme.com/preview-styles/)
16:16:15	38510/38510	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Feb%202017%2011:32:02%20GMT	http://usdtheme.com/preview-styles/js/bootstrap-datetimepicker.min.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/bootstrap-datetimepicker.min.js	(from http://usdtheme.com/preview-styles/)
16:16:16	469/469	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Oct%202016%2022:20:00%20GMT	http://usdtheme.com/preview-styles/lib/home.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/lib/home.js	(from http://usdtheme.com/preview-styles/)
16:16:18	2803/2803	---M--	200	added ('OK')	application/javascript	date:Tue,%2001%20Mar%202016%2014:15:16%20GMT	http://usdtheme.com/preview-styles/js/plugins.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/plugins.js	(from http://usdtheme.com/preview-styles/)
16:16:18	59548/59548	---M--	200	added ('OK')	application/javascript	date:Wed,%2016%20Mar%202016%2001:59:46%20GMT	http://usdtheme.com/preview-styles/lib/js/jquery.nivo.slider.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/lib/js/jquery.nivo.slider.js	(from http://usdtheme.com/preview-styles/)
16:16:19	3819/3819	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Jun%202017%2023:36:26%20GMT	http://usdtheme.com/preview-styles/js/main.js	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/js/main.js	(from http://usdtheme.com/preview-styles/)
